mode,width,repeat,cache,listStarts,listFinished,listAborted,tableStarts,tableFinished,tableAborted,heldLists,heldTables,listTableCallsWithSignal,listGzipBytes,tableGzipBytes,sseOpen,sseError,cards,rows,finalEpoch,pendingNonSse,errors
natural,320,1,cold,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
natural,320,1,warm,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
natural,320,2,cold,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
natural,320,2,warm,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
late-open,320,1,cold,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,320,1,warm,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,320,2,cold,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,320,2,warm,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
overlap,320,1,cold,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,320,1,warm,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,320,2,cold,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,320,2,warm,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
reconnect,320,1,cold,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,320,1,warm,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,320,2,cold,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,320,2,warm,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
natural,390,1,cold,3,3,0,2,2,0,0,0,0,14607,982,1,0,72,48,1,0,0
natural,390,1,warm,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
natural,390,2,cold,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
natural,390,2,warm,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
late-open,390,1,cold,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,390,1,warm,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,390,2,cold,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,390,2,warm,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
overlap,390,1,cold,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,390,1,warm,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,390,2,cold,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,390,2,warm,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
reconnect,390,1,cold,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,390,1,warm,9,9,0,4,4,0,3,1,0,43822,1964,2,1,72,48,2,0,0
reconnect,390,2,cold,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,390,2,warm,9,9,0,4,4,0,3,1,0,43822,1964,2,1,72,48,2,0,0
natural,1280,1,cold,9,9,0,2,2,0,0,0,0,43821,982,1,0,72,48,1,0,0
natural,1280,1,warm,3,3,0,2,2,0,0,0,0,14607,982,1,0,72,48,1,0,0
natural,1280,2,cold,3,3,0,2,2,0,0,0,0,14607,982,1,0,72,48,1,0,0
natural,1280,2,warm,3,3,0,2,2,0,0,0,0,14607,982,1,0,72,48,1,0,0
late-open,1280,1,cold,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,1280,1,warm,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,1280,2,cold,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
late-open,1280,2,warm,9,9,0,2,2,0,0,0,0,43822,982,1,0,72,48,1,0,0
overlap,1280,1,cold,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,1280,1,warm,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,1280,2,cold,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
overlap,1280,2,warm,9,9,0,2,2,0,3,0,0,43822,982,1,0,72,48,1,0,0
reconnect,1280,1,cold,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,1280,1,warm,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,1280,2,cold,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
reconnect,1280,2,warm,15,15,0,4,4,0,3,1,0,73036,1964,2,1,72,48,2,0,0
